id,visit_id,visitor_id,domain,url,country,date,page_views,time on site
v1,visit_1,visitor_1,domain_2,url_118,c_01,2013-11-04 14:48:10,1,0
v2,visit_2,visitor_2,domain_2,url_141,c_02,2014-05-16 14:28:02,1,0
v3,visit_3,visitor_3,domain_2,url_23,c_03,2013-02-20 09:24:27,1,0
v6,visit_6,visitor_6,domain_2,url_40,c_06,2014-05-06 22:26:43,1,71
v10,visit_10,visitor_10,domain_2,url_131,c_03,2013-11-27 15:10:30,1,0
v11,visit_11,visitor_11,domain_2,url_113,c_10,2014-05-17 08:52:23,1,0
v12,visit_12,visitor_12,domain_2,url_72,c_03,2014-01-09 09:11:13,1,0
v16,visit_16,visitor_15,domain_2,url_129,c_08,2013-09-04 11:54:24,1,0
v20,visit_20,visitor_19,domain_2,url_81,c_05,2013-03-15 09:20:46,1,6
v21,visit_21,visitor_20,domain_2,url_95,c_11,2013-05-09 10:51:50,1,0
v24,visit_24,visitor_23,domain_2,url_129,c_08,2013-09-07 17:46:18,1,14
v25,visit_25,visitor_24,domain_2,url_94,c_11,2013-02-17 22:32:18,1,161
v26,visit_26,visitor_25,domain_2,url_82,c_03,2013-02-03 03:41:30,1,37
v27,visit_27,visitor_26,domain_2,url_85,c_08,2014-02-10 12:59:29,1,0
v28,visit_28,visitor_27,domain_2,url_46,c_08,2013-01-24 10:37:43,1,0
v30,visit_30,visitor_29,domain_2,url_44,c_14,2013-09-19 18:37:59,1,0
v31,visit_31,visitor_30,domain_2,url_82,c_03,2013-06-19 07:59:50,0,0
v34,visit_34,visitor_33,domain_2,url_136,c_15,2014-05-02 03:56:15,1,0
v35,visit_35,visitor_34,domain_2,url_59,c_16,2013-07-09 05:47:22,1,0
v36,visit_36,visitor_35,domain_2,url_108,c_17,2013-09-13 14:17:55,1,0
v37,visit_37,visitor_36,domain_2,url_79,c_14,2013-07-24 20:08:40,1,0
v39,visit_39,visitor_38,domain_2,url_132,c_17,2013-11-09 15:44:47,1,0
v42,visit_42,visitor_41,domain_1,url_9,c_19,2014-03-02 10:08:30,0,705
v43,visit_43,visitor_42,domain_2,url_89,c_11,2014-05-08 17:47:55,1,4
v45,visit_45,visitor_44,domain_2,url_35,c_12,2013-08-28 00:19:47,1,15
