record_id,Years,date,domain,url,country,page_views
1,2012,Jan,domain_1,url_1,c_03,1.0
2,2012,Jan,domain_1,url_1,c_05,2.0
3,2012,Jan,domain_1,url_1,c_07,12.0
4,2012,Jan,domain_1,url_1,c_08,2.0
5,2012,Jan,domain_1,url_1,c_09,1.0
6,2012,Jan,domain_1,url_1,c_11,4.0
7,2012,Jan,domain_1,url_1,c_13,1.0
8,2012,Jan,domain_1,url_1,c_14,14.0
9,2012,Jan,domain_1,url_1,c_15,1.0
10,2012,Jan,domain_1,url_1,c_16,2.0
11,2012,Jan,domain_1,url_1,c_20,2.0
12,2012,Jan,domain_1,url_1,c_21,243.0
13,2012,Jan,domain_1,url_1,c_22,1.0
14,2012,Jan,domain_1,url_1,c_25,5.0
15,2012,Jan,domain_1,url_1,c_27,3.0
16,2012,Jan,domain_1,url_1,c_29,2.0
17,2012,Jan,domain_1,url_1,c_34,17.0
18,2012,Jan,domain_1,url_1,c_35,3.0
19,2012,Jan,domain_1,url_1,c_36,11.0
20,2012,Jan,domain_1,url_10,c_21,1.0
21,2012,Jan,domain_1,url_11,c_03,3.0
22,2012,Jan,domain_1,url_11,c_04,2.0
23,2012,Jan,domain_1,url_11,c_07,5.0
24,2012,Jan,domain_1,url_11,c_11,2.0
25,2012,Jan,domain_1,url_11,c_14,4.0
26,2012,Jan,domain_1,url_11,c_21,500.0
27,2012,Jan,domain_1,url_11,c_25,2.0
28,2012,Jan,domain_1,url_11,c_29,1.0
29,2012,Jan,domain_1,url_11,c_34,40.0
30,2012,Jan,domain_1,url_11,c_35,1.0
31,2012,Jan,domain_1,url_11,c_36,10.0
32,2012,Jan,domain_1,url_11,c_37,9.0
33,2012,Jan,domain_1,url_2,c_21,1.0
34,2012,Jan,domain_1,url_3,c_21,6.0
35,2012,Jan,domain_1,url_5,c_21,1.0
36,2012,Jan,domain_1,url_6,c_21,1.0
37,2012,Jan,domain_1,url_7,c_20,2.0
38,2012,Jan,domain_1,url_7,c_21,11.0
39,2012,Jan,domain_1,url_8,c_21,1.0
40,2012,Jan,domain_1,url_8,c_34,1.0
41,2012,Jan,domain_1,url_9,c_21,4.0
42,2012,Jan,domain_1,url_9,c_34,1.0
43,2012,Jan,domain_2,url_100,c_02,6.0
44,2012,Jan,domain_2,url_100,c_13,21.0
45,2012,Jan,domain_2,url_101,c_05,6.0
46,2012,Jan,domain_2,url_101,c_06,4.0
47,2012,Jan,domain_2,url_101,c_07,1.0
48,2012,Jan,domain_2,url_102,c_05,2.0
49,2012,Jan,domain_2,url_103,c_09,10.0
50,2012,Jan,domain_2,url_103,c_22,13.0
51,2012,Jan,domain_2,url_103,c_25,28.0
52,2012,Jan,domain_2,url_103,c_33,1.0
53,2012,Jan,domain_2,url_104,c_03,1.0
54,2012,Jan,domain_2,url_104,c_05,3.0
55,2012,Jan,domain_2,url_104,c_07,7.0
56,2012,Jan,domain_2,url_104,c_10,1.0
57,2012,Jan,domain_2,url_104,c_11,1.0
58,2012,Jan,domain_2,url_104,c_12,1.0
59,2012,Jan,domain_2,url_104,c_14,3.0
60,2012,Jan,domain_2,url_104,c_21,1.0
61,2012,Jan,domain_2,url_104,c_25,1.0
62,2012,Jan,domain_2,url_104,c_27,1.0
63,2012,Jan,domain_2,url_104,c_34,1.0
64,2012,Jan,domain_2,url_105,c_08,6.0
65,2012,Jan,domain_2,url_105,c_19,2.0
66,2012,Jan,domain_2,url_105,c_28,3.0
67,2012,Jan,domain_2,url_107,c_03,8.0
68,2012,Jan,domain_2,url_107,c_16,7.0
69,2012,Jan,domain_2,url_109,c_03,25.0
70,2012,Jan,domain_2,url_109,c_08,1.0
71,2012,Jan,domain_2,url_109,c_16,3.0
72,2012,Jan,domain_2,url_110,c_05,1.0
73,2012,Jan,domain_2,url_110,c_11,11.0
74,2012,Jan,domain_2,url_110,c_22,1.0
75,2012,Jan,domain_2,url_110,c_27,1.0
76,2012,Jan,domain_2,url_110,c_33,2.0
77,2012,Jan,domain_2,url_111,c_02,5.0
78,2012,Jan,domain_2,url_111,c_03,1.0
79,2012,Jan,domain_2,url_111,c_08,9.0
80,2012,Jan,domain_2,url_111,c_19,2.0
81,2012,Jan,domain_2,url_111,c_28,3.0
82,2012,Jan,domain_2,url_111,c_33,1.0
83,2012,Jan,domain_2,url_112,c_07,1.0
84,2012,Jan,domain_2,url_112,c_11,12.0
85,2012,Jan,domain_2,url_112,c_27,2.0
86,2012,Jan,domain_2,url_113,c_11,13.0
87,2012,Jan,domain_2,url_114,c_01,108.0
88,2012,Jan,domain_2,url_114,c_02,1.0
89,2012,Jan,domain_2,url_114,c_11,2.0
90,2012,Jan,domain_2,url_115,c_02,4.0
91,2012,Jan,domain_2,url_115,c_13,34.0
92,2012,Jan,domain_2,url_115,c_27,2.0
93,2012,Jan,domain_2,url_116,c_08,22.0
94,2012,Jan,domain_2,url_116,c_19,4.0
95,2012,Jan,domain_2,url_116,c_28,4.0
96,2012,Jan,domain_2,url_116,c_33,1.0
97,2012,Jan,domain_2,url_117,c_09,10.0
98,2012,Jan,domain_2,url_117,c_11,25.0
99,2012,Jan,domain_2,url_117,c_27,1.0
100,2012,Jan,domain_2,url_117,c_33,1.0
101,2012,Jan,domain_2,url_118,c_01,34.0
102,2012,Jan,domain_2,url_118,c_02,2.0
103,2012,Jan,domain_2,url_118,c_11,1.0
104,2012,Jan,domain_2,url_118,c_20,1.0
105,2012,Jan,domain_2,url_119,c_05,1.0
106,2012,Jan,domain_2,url_119,c_20,1.0
107,2012,Jan,domain_2,url_12,c_01,4.0
108,2012,Jan,domain_2,url_12,c_02,2.0
109,2012,Jan,domain_2,url_12,c_20,5.0
110,2012,Jan,domain_2,url_120,c_03,8.0
111,2012,Jan,domain_2,url_120,c_16,2.0
112,2012,Jan,domain_2,url_121,c_02,1.0
113,2012,Jan,domain_2,url_121,c_08,14.0
114,2012,Jan,domain_2,url_121,c_11,1.0
115,2012,Jan,domain_2,url_121,c_19,8.0
116,2012,Jan,domain_2,url_121,c_28,2.0
117,2012,Jan,domain_2,url_121,c_30,2.0
118,2012,Jan,domain_2,url_122,c_03,14.0
119,2012,Jan,domain_2,url_122,c_09,1.0
120,2012,Jan,domain_2,url_122,c_16,2.0
121,2012,Jan,domain_2,url_122,c_29,1.0
122,2012,Jan,domain_2,url_123,c_11,18.0
123,2012,Jan,domain_2,url_123,c_18,1.0
124,2012,Jan,domain_2,url_124,c_09,6.0
125,2012,Jan,domain_2,url_124,c_11,29.0
126,2012,Jan,domain_2,url_124,c_22,6.0
127,2012,Jan,domain_2,url_124,c_27,2.0
128,2012,Jan,domain_2,url_124,c_32,1.0
129,2012,Jan,domain_2,url_125,c_05,9.0
130,2012,Jan,domain_2,url_125,c_06,2.0
131,2012,Jan,domain_2,url_125,c_20,1.0
132,2012,Jan,domain_2,url_125,c_35,1.0
133,2012,Jan,domain_2,url_126,c_01,2.0
134,2012,Jan,domain_2,url_126,c_02,2.0
135,2012,Jan,domain_2,url_126,c_13,1.0
136,2012,Jan,domain_2,url_126,c_20,9.0
137,2012,Jan,domain_2,url_127,c_17,14.0
138,2012,Jan,domain_2,url_128,c_02,2.0
139,2012,Jan,domain_2,url_128,c_08,16.0
140,2012,Jan,domain_2,url_128,c_28,3.0
141,2012,Jan,domain_2,url_128,c_30,2.0
142,2012,Jan,domain_2,url_129,c_02,2.0
143,2012,Jan,domain_2,url_129,c_08,9.0
144,2012,Jan,domain_2,url_129,c_19,3.0
145,2012,Jan,domain_2,url_129,c_28,4.0
146,2012,Jan,domain_2,url_129,c_31,3.0
147,2012,Jan,domain_2,url_13,c_11,1.0
148,2012,Jan,domain_2,url_13,c_12,33.0
149,2012,Jan,domain_2,url_13,c_13,4.0
150,2012,Jan,domain_2,url_130,c_01,1.0
151,2012,Jan,domain_2,url_130,c_02,3.0
