Contract ID,Code Snippet,Function Call Patterns,Control Flow Graph,Opcode Sequence,Label
321,contract_kxcvnkkdehikzffrstdd,"{call22, call91}",graph_hwustzmbve,opcodes_crjjzspsaggqsoh,0
2831,contract_inrtorokbfgtbmqqrfjk,"{call25, call58}",graph_vaaulbmlrr,opcodes_uwnaspfahpzelcf,1
1565,contract_cassdopqvzbtfxnaawec,"{call27, call94}",graph_ludlnykwbz,opcodes_girbhvbardiqbhf,1
1863,contract_bslpgainjtjpswfnslkv,"{call17, call91}",graph_ulhotfijks,opcodes_dynbpiobgphbkaf,1
1280,contract_dokyhqhzzuhnfstfainq,"{call3, call74}",graph_dedlfupxux,opcodes_fvvcwjixiwbejte,0
1078,contract_rbvpsyatiedcxvuffrby,"{call17, call59}",graph_zchqcqiacd,opcodes_thnlyzzodcoyask,0
431,contract_nmqrsodjmfrrpmohhkuq,"{call25, call66}",graph_rwogrbhegg,opcodes_lsyqjayqcqactgz,0
369,contract_ujavoqpvsnsncmcdkrts,"{call9, call62}",graph_zuutvisule,opcodes_dufmheugbiwpvfh,0
2619,contract_ecdvxvfqwfubnslbcfgy,"{call3, call83}",graph_uvlhvdibcu,opcodes_qcwqzqynvngavrn,1
2954,contract_tennbfoiqyinpphxffbl,"{call7, call54}",graph_tvsvogzyuw,opcodes_jkurygoxqyygpvp,1
2869,contract_kktrfcqwvxalfqcftkvx,"{call40, call73}",graph_xgegtqojfe,opcodes_vuutlbjcvvfgzai,1
102,contract_ccjeqjumsmaegcklezan,"{call9, call80}",graph_dypqhpdkgv,opcodes_jhpkqwnlmgukwei,0
2810,contract_epkeecwkugdarukcrfzj,"{call32, call85}",graph_bbfxlmbgmw,opcodes_whpficgdghncrzw,1
1084,contract_litabooehzuylxqxnlwu,"{call12, call64}",graph_skojvygtiw,opcodes_avypdylzjqiebvu,0
561,contract_gajkmfiswujukomvmylc,"{call3, call59}",graph_nzepkhzcye,opcodes_zqlbbvflzewldrc,0
2847,contract_jhrrxftqvkqdkmncesea,"{call21, call97}",graph_vbkujpwizj,opcodes_gjoxhpuikromwit,1
2801,contract_bbciolozobrvmngsilml,"{call31, call57}",graph_mcgvbtkpkn,opcodes_kzxqrrfqvhholwo,1
1727,contract_zlkoulmmkgubaqofrevv,"{call42, call80}",graph_lcphyqfmgc,opcodes_pikixllevqsahqy,1
2214,contract_szflpptrrvahntfcazcw,"{call34, call94}",graph_xdvqcitfmt,opcodes_axdjhtcvmxumycc,1
1527,contract_bhtbnhmgexziidxnhfjf,"{call29, call62}",graph_pyspglktia,opcodes_dggyjsxwxqsxjek,1
1389,contract_lxorzslsrmqfzlgrqthd,"{call38, call58}",graph_shdlzitfky,opcodes_fbvhlgqyydpjzrj,0
2104,contract_iptkzkhuoosnnkbqoygm,"{call45, call70}",graph_xygshsimmu,opcodes_vbbbfanhzsjphio,1
14,contract_qrhcefifdhwjzmeccoxh,"{call44, call53}",graph_sjayifrfqz,opcodes_lxfohngqkivfybg,0
2741,contract_opbwzmaohmszpcmtqprz,"{call19, call71}",graph_wubcxhhqyf,opcodes_xddtftllcwbouik,1
829,contract_jcmrakydafiziobupfky,"{call48, call91}",graph_yjqnuygawc,opcodes_urdclahbauetvbd,0
101,contract_ypimujxusdkhqxhxzzzi,"{call15, call57}",graph_fnfhdshgwc,opcodes_dwajqnzaieublfo,0
1672,contract_qbdieslcrachexpdrwww,"{call41, call72}",graph_vtbywadayt,opcodes_yommwrgsmycuzhb,1
356,contract_nugtznhmwgoecbmnloip,"{call13, call80}",graph_kjsbowlkqm,opcodes_tbxzollcduszryf,0
289,contract_kofodvmzuljdiwnyupvw,"{call23, call96}",graph_ebteslcxjh,opcodes_thzbwhiheouqbjr,0
531,contract_bklrjdzojdmxsikpqrnk,"{call4, call70}",graph_hglfqzldzj,opcodes_qynilmlrvxrqayn,0
1649,contract_nannfwxqrcbovfxaleus,"{call9, call98}",graph_sceywyligw,opcodes_gclovxpaflicili,1
1066,contract_qmblocnzsesktyfnvypp,"{call24, call65}",graph_chmdpsudgk,opcodes_usigtrknblkuvdy,0
1999,contract_bejhwukatgespdrjngko,"{call1, call86}",graph_ffslujmagm,opcodes_lxflkykcrflwgbs,1
1515,contract_hvhovkbtkzcqjrkfzfoo,"{call45, call57}",graph_yfxpsptomc,opcodes_tlfckrclpoluwxk,1
2274,contract_rbmbnvoyqcoyvtgyvdqs,"{call45, call66}",graph_smgxawicgk,opcodes_izocybnacypmotv,1
