Contract ID,Code Snippet,Function Call Patterns,Control Flow Graph,Opcode Sequence,Label
1217,contract_vtwawnvsmqtfssnlcunf,"{call48, call67}",graph_zkkglurmtf,opcodes_ihcgwyleqwdqlfr,0
2623,contract_bwwerteghxlgxchhkrue,"{call30, call72}",graph_xgtkypidke,opcodes_qjkyudygntzggrt,1
2078,contract_tlkanexsvuxvezzulnwy,"{call18, call80}",graph_matsswbcuu,opcodes_gxtyecphiyxokat,1
1416,contract_fqujpcccvilvzzmkmrno,"{call49, call75}",graph_peyuckydnn,opcodes_sgqxulrlpuaivdz,0
1918,contract_rxbkkepuonergclgcojw,"{call11, call80}",graph_vtnkqofhir,opcodes_qxwjsibgxmolrrp,1
94,contract_qcenyciwhiiwumuhtyie,"{call26, call56}",graph_igxjmlsnlh,opcodes_laimhknntwiidqx,0
751,contract_txcpwhaichmjbgbjbvvq,"{call25, call66}",graph_whsytqdfnj,opcodes_xeejxljpfqglkye,0
119,contract_wuxdcjzdcylebrnjciks,"{call1, call88}",graph_zczltyfnos,opcodes_gsljgmaxdilffat,0
709,contract_wndlumdwdpqdwsbsvmnk,"{call47, call57}",graph_pkgfytlcmm,opcodes_dhxjkszhdnfsjqx,0
779,contract_tcihznqdxfcmtlpggmid,"{call11, call86}",graph_tbgaderkxb,opcodes_mdabntxcbvqvdiw,0
2997,contract_spomzqsucrjadvmayapv,"{call26, call97}",graph_yzjqnunrub,opcodes_ivbdxfvhftbiomf,1
2847,contract_zuyncobrxdkheawrxzpr,"{call15, call78}",graph_ukvqepamzw,opcodes_kcyjoiuhhddjtgd,1
1068,contract_kmdiiitgcwcnfydgaewd,"{call36, call96}",graph_jcjedzdegx,opcodes_wclqcheuyuxykwr,0
39,contract_qipfymlnfkalsyurutsw,"{call16, call83}",graph_edtybvoyhq,opcodes_ilzfkubwqmgkcoz,0
2938,contract_rwutnpvezhfmfkmeegmw,"{call39, call89}",graph_ntqmxwykez,opcodes_xosdemwrxozhzpa,1
1421,contract_gvouvwrwaojashgnvgoh,"{call22, call66}",graph_tjkqbsryqc,opcodes_ajxwcwmjtedzqwg,0
2753,contract_setvrykfjwqqflmpouvd,"{call36, call98}",graph_xyuihlhboh,opcodes_oxflgwxriwdvgcd,1
2394,contract_vncahogevvfudiygleve,"{call13, call87}",graph_gyqqqpomsd,opcodes_nwxcodgaduuiymg,1
2832,contract_jporsfgdzdfwugdubdrs,"{call6, call60}",graph_ssdblpdrnq,opcodes_acnqazvckkcwwyp,1
72,contract_vbljyojiduwdakjfthfu,"{call21, call68}",graph_nwnqqteypu,opcodes_uqijkstjzziulgf,0
2123,contract_unjelavftirwnlgbduxh,"{call40, call86}",graph_mkzsynawzg,opcodes_nkzkbakaujqxdcu,1
